Country	Record	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
Afghanistan	PBA_GgCO2eq	11800	12000	11000	11100	11100	11600	12500	13400	14100	14900	13300	11900	14300	15000	14700	15400	15800	16600	19800	22900	26400	30400	29000	28300	29800	29400	31300	31800	3.212431e+04	
Afghanistan	CBA_GgCO2eq	1.225102e+04	1.138802e+04	1.052502e+04	4.277514e+03	7.802046e+03	1.242521e+04	1.297854e+04	1.417876e+04	1.449633e+04	1.527209e+04	1.385811e+04	1.309345e+04	1.542356e+04	1.677095e+04	1.661409e+04	1.746552e+04	1.814185e+04	1.914773e+04	2.149725e+04	2.454128e+04	2.864664e+04	3.324754e+04	3.189531e+04	3.111946e+04	3.188671e+04	3.201110e+04	3.434237e+04	3.435208e+04	3.498988e+04	
Afghanistan	PBA_tCO2eqperCap	9.506929e-01	9.023235e-01	7.593539e-01	7.017766e-01	6.500351e-01	6.404947e-01	6.630245e-01	6.922560e-01	7.143581e-01	7.386842e-01	6.400385e-01	5.507474e-01	6.327154e-01	6.334192e-01	5.944919e-01	6.002963e-01	5.977377e-01	6.125235e-01	7.142342e-01	8.064800e-01	9.045433e-01	1.009397e+00	9.306505e-01	8.769755e-01	8.929909e-01	8.543035e-01	8.846056e-01	8.761296e-01	8.642073e-01	
Afghanistan	CBA_tCO2eqperCap	9.870306e-01	8.563066e-01	7.265649e-01	2.704378e-01	4.569012e-01	6.860587e-01	6.884074e-01	7.324872e-01	7.344377e-01	7.571308e-01	6.668966e-01	6.059818e-01	6.824281e-01	7.082029e-01	6.719007e-01	6.808109e-01	6.863335e-01	7.065324e-01	7.754583e-01	8.642817e-01	9.815200e-01	1.103946e+00	1.023565e+00	9.643466e-01	9.555214e-01	9.301766e-01	9.705895e-01	9.464426e-01	9.412967e-01	
Afghanistan	Population	12412000	13299000	14486000	15817000	17076000	18111000	18853000	19357000	19738000	20171000	20780000	21607000	22601000	23681000	24727000	25654000	26433000	27101000	27722000	28395000	29186000	30117000	31161000	32270000	33371000	34414000	35383000	36296000	37172000	
Afghanistan	PBA_GgCO2eqPerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	3.526354e+03	3.321848e+03	2.812440e+03	2.480216e+03	2.266440e+03	1.702934e+03	1.958607e+03	1.840971e+03	1.664925e+03	1.707453e+03	1.449884e+03	1.376388e+03	1.454731e+03	1.476859e+03	1.616515e+03	1.574900e+03	1.648721e+03	
Afghanistan	CBA_GgCO2eqPerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	3.803422e+03	3.714037e+03	3.178648e+03	2.812874e+03	2.602368e+03	1.964297e+03	2.126499e+03	1.972916e+03	1.806610e+03	1.867389e+03	1.594638e+03	1.513514e+03	1.556597e+03	1.608023e+03	1.773641e+03	1.701292e+03	1.795791e+03	
Afghanistan	GDP_MilUSD	0	0	0	0	0	0	0	0	0	0	0	0	4.055180e+03	4.515559e+03	5.226779e+03	6.209138e+03	6.971286e+03	9.747880e+03	1.010923e+04	1.243909e+04	1.585657e+04	1.780429e+04	2.000160e+04	2.056107e+04	2.048489e+04	1.990711e+04	1.936264e+04	2.019176e+04	1.948438e+04	
Albania	PBA_GgCO2eq	6620	7910	5620	5700	6250	6190	6190	6260	7060	7480	6660	7050	7370	7670	7950	7760	7680	7920	7850	8310	8570	9300	8940	9150	9960	9500	9800	9860	9.924244e+03	
Albania	CBA_GgCO2eq	7.059613e+03	6.525929e+03	5.992244e+03	-1.479961e+03	2.882069e+03	6.992596e+03	6.827788e+03	7.046622e+03	7.850400e+03	8.206808e+03	7.425687e+03	8.043118e+03	8.459884e+03	9.162020e+03	9.732753e+03	9.746356e+03	9.805362e+03	1.038772e+04	1.047015e+04	1.052691e+04	1.081377e+04	1.169315e+04	1.118899e+04	1.143388e+04	1.201823e+04	1.158657e+04	1.011948e+04	1.012390e+04	1.174173e+04	
Albania	PBA_tCO2eqperCap	2.014607e+00	2.411585e+00	1.731362e+00	1.784038e+00	1.986018e+00	1.988436e+00	1.997419e+00	2.019355e+00	2.269367e+00	2.395133e+00	2.128476e+00	2.252396e+00	2.357646e+00	2.459910e+00	2.560386e+00	2.513767e+00	2.507346e+00	2.610415e+00	2.614053e+00	2.795156e+00	2.907056e+00	3.175145e+00	3.067948e+00	3.150826e+00	3.439227e+00	3.286060e+00	3.395703e+00	3.418863e+00	3.442332e+00	
